model,K,meanK,SE,hits@20%,AUC,linear,selected
CatBoost,17,192.95999999999998,1.2603491579717072,195,0.7858956551136196,False,True
LightGBM,26,187.0,1.479459360712555,190,0.7803716314111852,False,False
LDA,18,183.32,0.6707607621201475,185,0.7566167021531252,True,False
XGBoost,16,182.44,1.3283373065603512,188,0.771648052024408,False,False
LogReg,30,179.84,1.1803728224590735,183,0.7650106144406789,True,False
