model,K,meanK,SE,hits@20%,AUC,linear,selected
XGBoost,15,195.95999999999998,1.9002315648362462,209,0.7876531797126647,False,False
LightGBM,14,195.12,0.977507033222778,206,0.7842872156358796,False,True
CatBoost,14,190.32,0.9253755994189624,191,0.7899918213162326,False,False
LDA,30,182.6,0.13856406460551213,186,0.7575080631952931,True,False
LogReg,29,181.35999999999999,0.5227618960865459,184,0.7654058999911808,True,False
