K,meanK_LogReg,meanK_LightGBM,meanK_avg,hits_LGB
5,169.0,155.8,162.4,161
10,173.6,162.8,168.2,163
15,172.8,169.0,170.9,172
20,180.0,162.8,171.4,164
25,175.0,157.0,166.0,158
30,181.6,160.4,171.0,164
40,178.8,163.8,171.3,163
50,177.4,163.2,170.3,165
60,177.2,157.0,167.1,157
75,177.0,162.2,169.6,164
90,179.2,156.6,167.89999999999998,158
110,177.2,157.4,167.3,158
125,175.8,157.2,166.5,160
